,Player,Country,Team,Assists
40,Mo Salah,Egypt,Liverpool FC ,5
41,Luke Shaw,England,Manchester United ,5
42,Gylfi Sigurðsson,Iceland,Everton FC ,5
43,Andros Townsend,England,Crystal Palace ,5
44,Leandro Trossard,Belgium,Brighton & Hove Albion ,5
45,Ollie Watkins,England,Aston Villa ,5
46, Willian,Brazil,Arsenal FC ,5
47,Callum Wilson,England,Newcastle United ,5
48,Harvey Barnes,England,Leicester City ,4
49, Gabriel Jesus,Brazil,Manchester City ,4
50,Pierre-Emile Højbjerg,Denmark,Tottenham Hotspur ,4
51,Danny Ings,England,Southampton FC ,4
52,Jesse Lingard,England,Manchester United West Ham United ,4
53,Ademola Lookman,Nigeria,Fulham FC ,4
54, Lucas Moura,Brazil,Tottenham Hotspur ,4
55,Wilfred Ndidi,Nigeria,Leicester City ,4
56, Pablo Fornals,Spain,West Ham United ,4
57,James Rodríguez,Colombia,Everton FC ,4
58,Allan Saint-Maximin,France,Newcastle United ,4
59,Emile Smith Rowe,England,Arsenal FC ,4
60,Youri Tielemans,Belgium,Leicester City ,4
61,Aaron Wan-Bissaka,England,Manchester United ,4
62,Ezgjan Alioski,North Macedonia,Leeds United ,3
63,Frank Anguissa,Cameroon,Fulham FC ,3
64,Pierre-Emerick Aubameyang,Gabon,Arsenal FC ,3
65,Sèrge Aurier,Ivory Coast,Tottenham Hotspur ,3
66,Jordan Ayew,Ghana,Crystal Palace ,3
67,Steven Bergwijn,Netherlands,Tottenham Hotspur ,3
68,Timothy Castagne,Belgium,Leicester City ,3
69,Édinson Cavani,Uruguay,Manchester United ,3
70,Séamus Coleman,Ireland,Everton FC ,3
71, Dani Ceballos,Spain,Arsenal FC ,3
72,Abdoulaye Doucouré,Mali,Everton FC ,3
73, Fábio Silva,Portugal,Wolverhampton Wanderers ,3
74,Darnell Furlong,England,West Bromwich Albion ,3
75,Kai Havertz,Germany,Chelsea FC ,3
76, Hélder Costa,Angola,Leeds United ,3
77,Callum Hudson-Odoi,England,Chelsea FC ,3
78, João Cancelo,Portugal,Manchester City ,3
79,Anthony Martial,France,Manchester United ,3
80,Aleksandar Mitrović,Serbia,Fulham FC ,3
81,Jacob Murphy,England,Newcastle United ,3
82,Paul Pogba,France,Manchester United ,3
83,Nathan Redmond,England,Southampton FC ,3
84, Reguilón,Spain,Tottenham Hotspur ,3
85, Richarlison,Brazil,Everton FC ,3
86,Bukayo Saka,England,Arsenal FC ,3
87,Jeffrey Schlupp,Ghana,Crystal Palace ,3
88,Jonjo Shelvey,England,Newcastle United ,3
89,Kieran Tierney,Scotland,Arsenal FC ,3
90,Theo Walcott,England,Everton FC Southampton FC ,3
91,Ashley Westwood,England,Burnley FC ,3
92,Chris Wood,New Zealand,Burnley FC ,3
93,Hakim Ziyech,Morocco,Chelsea FC ,3
94, Adama Traoré,Spain,Wolverhampton Wanderers ,2
95, Alex Telles,Brazil,Manchester United ,2
96, Azpilicueta,Spain,Chelsea FC ,2
97,George Baldock,Greece,Sheffield United ,2
98,Gareth Bale,Wales,Tottenham Hotspur ,2
99,Matty Cash,Poland,Aston Villa ,2
100,Calum Chambers,England,Arsenal FC ,2
101,Stuart Dallas,Northern Ireland,Leeds United ,2
102,Bobby Decordova-Reid,Jamaica,Fulham FC ,2
103,Mbaye Diagne,Senegal,West Bromwich Albion ,2
104,Matt Doherty,Ireland,Tottenham Hotspur ,2
105, Douglas Luiz,Brazil,Aston Villa ,2
106,Jonny Evans,Northern Ireland,Leicester City ,2
107, Fernandinho,Brazil,Manchester City ,2
108, Ferran Torres,Spain,Manchester City ,2
109,John Fleck,Scotland,Sheffield United ,2
110,Ryan Fraser,Scotland,Newcastle United ,2
111,Conor Gallagher,England,West Bromwich Albion ,2
112,Ben Godfrey,England,Everton FC ,2
113,Mason Greenwood,England,Manchester United ,2
114,İlkay Gündoğan,Germany,Manchester City ,2
115, Héctor Bellerín,Spain,Arsenal FC ,2
116,Kelechi Iheanacho,Nigeria,Leicester City ,2
117,Alex Iwobi,Nigeria,Everton FC ,2
118,Reece James,England,Chelsea FC ,2
119, Joelinton,Brazil,Newcastle United ,2
120,Curtis Jones,England,Liverpool FC ,2
121,N'Golo Kanté,France,Chelsea FC ,2
122,Alexandre Lacazette,France,Arsenal FC ,2
123,John Lundstram,England,Sheffield United ,2
124,Arthur Masuaku,Congo DR,West Ham United ,2
125, Mata,Spain,Manchester United ,2
126,Joel Matip,Cameroon,Liverpool FC ,2
127,Neal Maupay,France,Brighton & Hove Albion ,2
128,James McArthur,Scotland,Crystal Palace ,2
129,Tyrone Mings,England,Aston Villa ,2
130,Tanguy Ndombèlé,France,Tottenham Hotspur ,2
131,Martin Ødegaard,Norway,Arsenal FC ,2
132, Pablo Hernández,Spain,Leeds United ,2
133,Thomas Partey,Ghana,Arsenal FC ,2
134,Kalvin Phillips,England,Leeds United ,2
135,Daniel Podence,Portugal,Wolverhampton Wanderers ,2
136,Christian Pulišić,USA,Chelsea FC ,2
137,Harrison Reed,England,Fulham FC ,2
138,Matt Ritchie,Scotland,Newcastle United ,2
139,Tyler Roberts,Wales,Leeds United ,2
140, Rodri,Spain,Manchester City ,2
141, Rodrigo,Spain,Leeds United ,2
142,Jay Rodriguez,England,Burnley FC ,2
143,Xherdan Shaqiri,Switzerland,Liverpool FC ,2
144,Matt Targett,England,Aston Villa ,2
145,Conor Townsend,England,West Bromwich Albion ,2
146,Cengiz Ünder,Turkey,Leicester City ,2
147,Matěj Vydra,Czech Republic,Burnley FC ,2
148,Kyle Walker-Peters,England,Southampton FC ,2
149,Granit Xhaka,Switzerland,Arsenal FC ,2
150,Wilfried Zaha,Ivory Coast,Crystal Palace ,2
151,Tammy Abraham,England,Chelsea FC ,1
152,Sergio Agüero,Argentina,Manchester City ,1
153,Ola Aina,Nigeria,Fulham FC ,1
154,Rayan Aït Nouri,France,Wolverhampton Wanderers ,1
155,Dele Alli,England,Tottenham Hotspur ,1
156,Miguel Almirón,Paraguay,Newcastle United ,1
157, Amad,Ivory Coast,Manchester United ,1
158,Joachim Andersen,Denmark,Fulham FC ,1
159, André Gomes,Portugal,Everton FC ,1
160, Ayoze Pérez,Spain,Leicester City ,1
161,Ross Barkley,England,Aston Villa Chelsea FC ,1
162,Kyle Bartley,England,West Bromwich Albion ,1
163,Chris Basham,England,Sheffield United ,1
164,Michy Batshuayi,Belgium,Crystal Palace ,1
165,Jan Bednarek,Poland,Southampton FC ,1
166,Christian Benteke,Belgium,Crystal Palace ,1
167,Sander Berge,Norway,Sheffield United ,1
168,Ryan Bertrand,England,Southampton FC ,1
169,Willy Boly,Ivory Coast,Wolverhampton Wanderers ,1
170,Robbie Brady,Ireland,Burnley FC ,1
171,Josh Brownhill,England,Burnley FC ,1
172,Oliver Burke,Scotland,Sheffield United ,1
173,Gary Cahill,England,Crystal Palace ,1
174,Tom Cairney,England,Fulham FC ,1
175, Cédric,Portugal,Arsenal FC ,1
176,Nathaniel Clyne,England,Crystal Palace ,1
177,Aaron Connolly,Ireland,Brighton & Hove Albion ,1
178,Ben Davies,Wales,Tottenham Hotspur ,1
179,Tom Davies,England,Everton FC ,1
180,Keinan Davis,England,Aston Villa ,1
181, Ederson,Brazil,Manchester City ,1
182,John Egan,Ireland,Sheffield United ,1
183,Ryan Fredericks,England,West Ham United ,1
184, Gabriel Martinelli,Brazil,Arsenal FC ,1
185,Dwight Gayle,England,Newcastle United ,1
186,Kamil Grosicki,Poland,West Bromwich Albion ,1
187,Jordan Henderson,England,Liverpool FC ,1
188,Jeff Hendrick,Ireland,Newcastle United ,1
189,Rob Holding,England,Arsenal FC ,1
190,Conor Hourihane,Ireland,Aston Villa ,1
191,Alireza Jahanbakhsh,Iran,Brighton & Hove Albion ,1
192,Dan James,Wales,Manchester United ,1
193, João Moutinho,Portugal,Wolverhampton Wanderers ,1
194,Sam Johnstone,England,West Bromwich Albion ,1
195, Jorginho,Italy,Chelsea FC ,1
196,James Justin,England,Leicester City ,1
197,Michael Keane,England,Everton FC ,1
198,Maximilian Kilman,England,Wolverhampton Wanderers ,1
199,Mateo Kovačić,Croatia,Chelsea FC ,1
200,Adam Lallana,England,Brighton & Hove Albion ,1
201,Tariq Lamptey,Ghana,Brighton & Hove Albion ,1
202,Manuel Lanzini,Argentina,West Ham United ,1
203,Jamal Lewis,Northern Ireland,Newcastle United ,1
204,Victor Lindelöf,Sweden,Manchester United ,1
205,Giovani Lo Celso,Argentina,Tottenham Hotspur ,1
206,Matthew Longstaff,England,Newcastle United ,1
207,Matthew Lowton,England,Burnley FC ,1
208,Alexis Mac Allister,Argentina,Brighton & Hove Albion ,1
209,Harry Maguire,England,Manchester United ,1
210,Solly March,England,Brighton & Hove Albion ,1
211,David McGoldrick,Ireland,Sheffield United ,1
212,Scott McTominay,Scotland,Manchester United ,1
213,Benjamin Mendy,France,Manchester City ,1
214,Nampalys Mendy,Senegal,Leicester City ,1
215,Luka Milivojević,Serbia,Crystal Palace ,1
216,James Milner,England,Liverpool FC ,1
217,Tyrick Mitchell,England,Crystal Palace ,1
218, Nélson Semedo,Portugal,Wolverhampton Wanderers ,1
219,Eddie Nketiah,England,Arsenal FC ,1
220, Oriol Romeu,Spain,Southampton FC ,1
221,Owen Otasowie,USA,Wolverhampton Wanderers ,1
222,Alex Oxlade-Chamberlain,England,Liverpool FC ,1
223,Nicolas Pépé,Ivory Coast,Arsenal FC ,1
224,Matthew Phillips,Scotland,West Bromwich Albion ,1
225,Nathaniel Phillips,England,Liverpool FC ,1
226,Erik Pieters,Netherlands,Burnley FC ,1
227,Dennis Praet,Belgium,Leicester City ,1
228, Ricardo Pereira,Portugal,Leicester City ,1
229,Declan Rice,England,West Ham United ,1
230,Jack Robinson,England,Sheffield United ,1
231, Rúben Neves,Portugal,Wolverhampton Wanderers ,1
232,Tomáš Souček,Czech Republic,West Ham United ,1
233,Enda Stevens,Ireland,Sheffield United ,1
234,Percy Tau,South Africa,Brighton & Hove Albion ,1
235,Charlie Taylor,England,Burnley FC ,1
236,Nathan Tella,England,Southampton FC ,1
237,Kenny Tete,Netherlands,Fulham FC ,1
238,Mahmoud Trezeguet,Egypt,Aston Villa ,1
239,Patrick van Aanholt,Netherlands,Crystal Palace ,1
240,Donny van de Beek,Netherlands,Manchester United ,1
241,Joël Veltman,Netherlands,Brighton & Hove Albion ,1
242, Vitinha,Portugal,Wolverhampton Wanderers ,1
243,Kyle Walker,England,Manchester City ,1
244,Joel Ward,England,Crystal Palace ,1
245,Danny Welbeck,England,Brighton & Hove Albion ,1
246,Andrey Yarmolenko,Ukraine,West Ham United ,1
247,Okay Yokuşlu,Turkey,West Bromwich Albion ,1
