,Player,Country,Team,Assists
0,Harry Kane,England,Tottenham Hotspur ,14
1, Bruno Fernandes,Portugal,Manchester United ,12
2,Kevin De Bruyne,Belgium,Manchester City ,12
3,Jack Grealish,England,Aston Villa ,10
4,Heung-min Son,South Korea,Tottenham Hotspur ,10
5, Raphinha,Brazil,Leeds United ,9
6,Marcus Rashford,England,Manchester United ,9
7,Jamie Vardy,England,Leicester City ,9
8,Aaron Cresswell,England,West Ham United ,8
9,Pascal Groß,Germany,Brighton & Hove Albion ,8
10,Jack Harrison,England,Leeds United ,8
11,Timo Werner,Germany,Chelsea FC ,8
12,Trent Alexander-Arnold,England,Liverpool FC ,7
13,Patrick Bamford,England,Leeds United ,7
14,Vladimír Coufal,Czech Republic,West Ham United ,7
15,Lucas Digne,France,Everton FC ,7
16,Sadio Mané,Senegal,Liverpool FC ,7
17, Roberto Firmino,Brazil,Liverpool FC ,7
18,Andy Robertson,Scotland,Liverpool FC ,7
19,Raheem Sterling,England,Manchester City ,7
20,James Ward-Prowse,England,Southampton FC ,7
21,Saïd Benrahma,Algeria,West Ham United ,6
22, Bernardo Silva,Portugal,Manchester City ,6
23,Eberechi Eze,England,Crystal Palace ,6
24,Riyad Mahrez,Algeria,Manchester City ,6
25, Matheus Pereira,Brazil,West Bromwich Albion ,6
26, Pedro Neto,Portugal,Wolverhampton Wanderers ,6
27,Bertrand Traoré,Burkina Faso,Aston Villa ,6
28,Ché Adams,Scotland,Southampton FC ,5
29,Marc Albrighton,England,Leicester City ,5
30,Michail Antonio,Jamaica,West Ham United ,5
31,Stuart Armstrong,Scotland,Southampton FC ,5
32,Jarrod Bowen,England,West Ham United ,5
33,Ben Chilwell,England,Chelsea FC ,5
34,Phil Foden,England,Manchester City ,5
35,Mateusz Klich,Poland,Leeds United ,5
36,James Maddison,England,Leicester City ,5
37,John McGinn,Scotland,Aston Villa ,5
38,Dwight McNeil,England,Burnley FC ,5
39,Mason Mount,England,Chelsea FC ,5
