,Player,Country,Team,Assists
122,Joe Gelhardt,England,Leeds United ,2
123,Sam Greenwood,England,Leeds United ,2
124,Jordan Henderson,England,Liverpool FC ,2
125,Rico Henry,England,Brentford FC ,2
126,Danny Ings,England,Aston Villa West Ham United ,2
127, João Moutinho,Portugal,Wolverhampton Wanderers ,2
128,Michael Keane,England,Everton FC ,2
129,Thilo Kehrer,Germany,West Ham United ,2
130,Lloyd Kelly,England,AFC Bournemouth ,2
131,Mateo Kovačić,Croatia,Chelsea FC ,2
132,Clément Lenglet,France,Tottenham Hotspur ,2
133,Alexis Mac Allister,Argentina,Brighton & Hove Albion ,2
134,Sékou Mara,France,Southampton FC ,2
135, Marc Roca,Spain,Leeds United ,2
136,Anthony Martial,France,Manchester United ,2
137,Tyrone Mings,England,Aston Villa ,2
138,Tyrick Mitchell,England,Crystal Palace ,2
139,Mason Mount,England,Chelsea FC ,2
140,Mykhaylo Mudryk,Ukraine,Chelsea FC ,2
141,Jacob Murphy,England,Newcastle United ,2
142,Reiss Nelson,England,Arsenal FC ,2
143,Amadou Onana,Belgium,Everton FC ,2
144,Frank Onyeka,Nigeria,Brentford FC ,2
145,Romain Perraud,France,Southampton FC ,2
146,Luke Shaw,England,Manchester United ,2
147,Emile Smith Rowe,England,Arsenal FC ,2
148,John Stones,England,Manchester City ,2
149,Crysencio Summerville,Netherlands,Leeds United ,2
150, Thiago Silva,Brazil,Chelsea FC ,2
151,Youri Tielemans,Belgium,Leicester City ,2
152,Theo Walcott,England,Southampton FC ,2
153,Ryan Yates,England,Nottingham Forest ,2
154,Wilfried Zaha,Ivory Coast,Crystal Palace ,2
155,Oleksandr Zinchenko,Ukraine,Arsenal FC ,2
156, Adama Traoré,Spain,Wolverhampton Wanderers ,1
157,Manuel Akanji,Switzerland,Manchester City ,1
158, Alisson,Brazil,Liverpool FC ,1
159,Elliot Anderson,Scotland,Newcastle United ,1
160,Jaidon Anthony,England,AFC Bournemouth ,1
161,Adam Armstrong,England,Southampton FC ,1
162,Stuart Armstrong,Scotland,Southampton FC ,1
163,Taiwo Awoniyi,Nigeria,Nottingham Forest ,1
164,Luke Ayling,England,Leeds United ,1
165, Ayoze Pérez,Spain,Leicester City ,1
166,Patrick Bamford,England,Leeds United ,1
167,Shandon Baptiste,Grenada,Brentford FC ,1
168,Harvey Barnes,England,Leicester City ,1
169,Philip Billing,Denmark,AFC Bournemouth ,1
170,Willy Boly,Ivory Coast,Nottingham Forest Wolverhampton Wanderers ,1
171, Bryan Gil,Spain,Tottenham Hotspur ,1
172,Facundo Buonanotte,Argentina,Brighton & Hove Albion ,1
173,Moisés Caicedo,Ecuador,Brighton & Hove Albion ,1
174,Dominic Calvert-Lewin,England,Everton FC ,1
175,Matty Cash,Poland,Aston Villa ,1
176,Ryan Christie,Scotland,AFC Bournemouth ,1
177,Conor Coady,England,Everton FC Wolverhampton Wanderers ,1
178,Vladimír Coufal,Czech Republic,West Ham United ,1
179,Aaron Cresswell,England,West Ham United ,1
180,Bobby Decordova-Reid,Jamaica,Fulham FC ,1
181,Eric Dier,England,Tottenham Hotspur ,1
182, Ederson,Brazil,Manchester City ,1
183,Anthony Elanga,Sweden,Manchester United ,1
184,Mohamed Elyounoussi,Norway,Southampton FC ,1
185, Emerson Royal,Brazil,Tottenham Hotspur ,1
186, Felipe Monteiro,Brazil,Nottingham Forest ,1
187,Conor Gallagher,England,Chelsea FC ,1
188,James Garner,England,Everton FC Manchester United ,1
189,Billy Gilmour,Scotland,Brighton & Hove Albion Chelsea FC ,1
190,Ben Godfrey,England,Everton FC ,1
191, Gonçalo Guedes,Portugal,Wolverhampton Wanderers ,1
192,Demarai Gray,Jamaica,Everton FC ,1
193,Idrissa Gueye,Senegal,Everton FC ,1
194,Kai Havertz,Germany,Chelsea FC ,1
195,Aaron Hickey,Scotland,Brentford FC ,1
196,Will Hughes,England,Crystal Palace ,1
197, Hugo Bueno,Spain,Wolverhampton Wanderers ,1
198,Hee-chan Hwang,South Korea,Wolverhampton Wanderers ,1
199,Alexander Isak,Sweden,Newcastle United ,1
200,Dan James,Wales,Fulham FC Leeds United ,1
201,Reece James,England,Chelsea FC ,1
202,Vitaly Janelt,Germany,Brentford FC ,1
203,Raúl Jiménez,Mexico,Wolverhampton Wanderers ,1
204, João Cancelo,Portugal,Manchester City ,1
205, Joelinton,Brazil,Newcastle United ,1
206,Curtis Jones,England,Liverpool FC ,1
207, Jorginho,Italy,Arsenal FC Chelsea FC ,1
208, Junior Firpo,Spain,Leeds United ,1
209,Boubacar Kamara,France,Aston Villa ,1
210,N'Golo Kanté,France,Chelsea FC ,1
211,Kalidou Koulibaly,Senegal,Chelsea FC ,1
212,Rasmus Kristensen,Denmark,Leeds United ,1
213,Victor Kristiansen,Denmark,Leicester City ,1
214,Adam Lallana,England,Brighton & Hove Albion ,1
215,Mario Lemina,Gabon,Wolverhampton Wanderers ,1
216,Keane Lewis-Potter,England,Brentford FC ,1
217,Ruben Loftus-Cheek,England,Chelsea FC ,1
218, Lyanco,Brazil,Southampton FC ,1
219,Orel Mangala,Belgium,Nottingham Forest ,1
220, Matheus Nunes,Portugal,Wolverhampton Wanderers ,1
221,Kevin Mbabu,Switzerland,Fulham FC ,1
222,Weston McKennie,USA,Leeds United ,1
223,Ben Mee,England,Brentford FC ,1
224,James Milner,England,Liverpool FC ,1
225,Aleksandar Mitrović,Serbia,Fulham FC ,1
226,Enock Mwepu,Zambia,Brighton & Hove Albion ,1
227, Nélson Semedo,Portugal,Wolverhampton Wanderers ,1
228,Eddie Nketiah,England,Arsenal FC ,1
229, Pablo Fornals,Spain,West Ham United ,1
230,Cole Palmer,England,Manchester City ,1
231,Jordan Pickford,England,Everton FC ,1
232,Christian Pulišić,USA,Chelsea FC ,1
233, Renan Lodi,Brazil,Nottingham Forest ,1
234, Ricardo Pereira,Portugal,Leicester City ,1
235,Declan Rice,England,West Ham United ,1
236,Antonee Robinson,USA,Fulham FC ,1
237, Rodrigo,Spain,Leeds United ,1
238,Cristian Romero,Argentina,Tottenham Hotspur ,1
239,Joe Rothwell,England,AFC Bournemouth ,1
240, Rúben Neves,Portugal,Wolverhampton Wanderers ,1
241,Georginio Rutter,France,Leeds United ,1
242,Marcel Sabitzer,Austria,Manchester United ,1
243,William Saliba,France,Arsenal FC ,1
244,Mohammed Salisu,Ghana,Southampton FC ,1
245,Jeremy Sarmiento,Ecuador,Brighton & Hove Albion ,1
246,Pape Sarr,Senegal,Tottenham Hotspur ,1
247,Kevin Schade,Germany,Brentford FC ,1
248,Jeffrey Schlupp,Ghana,Crystal Palace ,1
249, Sergio Gómez,Spain,Manchester City ,1
250,Adam Smith,England,AFC Bournemouth ,1
251,Harry Souttar,Australia,Leicester City ,1
252,Jason Steele,England,Brighton & Hove Albion ,1
253,Pascal Struijk,Netherlands,Leeds United ,1
254,Kamaldeen Sulemana,Ghana,Southampton FC ,1
255,James Tarkowski,England,Everton FC ,1
256,Kieran Tierney,Scotland,Arsenal FC ,1
257,Takehiro Tomiyasu,Japan,Arsenal FC ,1
258,Boubacar Traoré II,Mali,Wolverhampton Wanderers ,1
259,Virgil van Dijk,Netherlands,Liverpool FC ,1
260,Joël Veltman,Netherlands,Brighton & Hove Albion ,1
261,Wout Weghorst,Netherlands,Manchester United ,1
262,Jordan Zemura,Zimbabwe,AFC Bournemouth ,1
