RK,TEAM,P,YC,RC,PTS
1,Wolverhampton Wanderers,38,86,6,104
2,Leeds United,38,87,3,96
3,Crystal Palace,38,81,3,90
4,Nottingham Forest,38,85,0,85
,Tottenham Hotspur,38,76,3,85
,Chelsea,38,76,3,85
7,Manchester United,38,78,2,84
8,Fulham,38,80,1,83
9,Everton,38,74,2,80
,Aston Villa,38,77,1,80
11,Southampton,38,73,0,73
12,Newcastle United,38,68,1,71
13,AFC Bournemouth,38,69,0,69
14,Leicester City,38,60,2,66
15,Liverpool,38,57,1,60
16,Brentford,38,56,1,59
17,Brighton & Hove Albion,38,58,0,58
18,Arsenal,38,57,0,57
19,Manchester City,38,44,1,47
20,West Ham United,38,45,0,45
GLOSSARY,,,,,
