Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,45,18.4,,62.4,88.8,,
2. Leicester,32,14.5,,55.6,83.1,,
3. Chelsea,39,15.4,,58.2,84.9,,
4. Southampton,30,13.6,,48.8,72.5,,
5. Liverpool,33,14.6,,60.4,84.5,,
6. Wolves,24,11.8,,46.9,77.5,,
7. Manchester United,26,12.8,,54.5,83.3,,
8. Tottenham,25,10.5,,51.5,80.1,,
9. Burnley,19,8.8,,41.9,69.3,,
10. West Ham,19,10.3,,44.5,74.6,,
11. Brighton,19,11.9,,50.7,81,,
12. Sheffield United,15,7.6,,42.7,74.8,,
13. Crystal Palace,16,7.6,,46.1,76.4,,
14. Arsenal,20,9.3,,53.2,84.2,,
15. Bournemouth,18,10,,45.6,76.2,,
16. Everton,20,11.5,,48.9,77.9,,
17. Aston Villa,19,11,,44.9,75.8,,
18. Newcastle,18,8.7,,40.5,75.5,,
19. Watford,14,9.5,,44.2,73.1,,
20. Norwich,7,10.1,,49.6,80.5,,
