RK,TEAM,P,YC,RC,PTS
1,Arsenal,38,87,5,102
2,Watford,38,76,3,85
3,Tottenham Hotspur,38,77,2,83
,AFC Bournemouth,38,74,3,83
5,Newcastle United,38,71,3,80
6,Everton,38,70,3,79
7,Norwich City,38,68,3,77
8,Manchester United,38,73,0,73
9,Manchester City,38,60,4,72
10,Aston Villa,38,68,1,71
11,Crystal Palace,38,62,2,68
12,Sheffield United,38,61,2,67
,Burnley,38,67,0,67
14,West Ham United,38,62,1,65
15,Southampton,38,52,4,64
16,Brighton & Hove Albion,38,57,2,63
17,Wolverhampton Wanderers,38,55,2,61
18,Chelsea,38,60,0,60
19,Leicester City,38,43,3,52
20,Liverpool,38,38,1,41
GLOSSARY,,,,,
