Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,41,18.6,,67.5,89.2,,
2. Chelsea,39,14,,61.2,87,,
3. Liverpool,45,17.1,,60.3,83.8,,
4. Tottenham,31,12.2,,52.3,85.2,,
5. Brighton,23,11,,54,80.6,,
6. Wolves,18,9.4,,47.7,80.2,,
7. Aston Villa,23,11.5,,45.9,78.1,,
8. West Ham,27,11.1,,48,81.6,,
9. Crystal Palace,23,9.5,,48.7,80.4,,
10. Manchester United,25,12.1,,51.5,81.7,,
11. Arsenal,26,12.7,,49.7,82.2,,
12. Leicester,28,10.4,,51,80.9,,
13. Brentford,26,11,,43.9,74.4,,
14. Burnley,16,9.4,,38.2,68,,
15. Watford,17,9.5,,38,72.4,,
16. Southampton,20,12.9,,50.1,77.3,,
17. Leeds,23,11.6,,50.2,77.2,,
18. Newcastle,18,11.1,,41.3,76.7,,
19. Everton,16,11.1,,38.6,74.3,,
20. Norwich,11,9,,43,78.3,,
