,Player,Country,Team,Assists
0,Kevin De Bruyne,Belgium,Manchester City ,20
1,Trent Alexander-Arnold,England,Liverpool FC ,13
2,Andy Robertson,Scotland,Liverpool FC ,12
3, David Silva,Spain,Manchester City ,10
4,Mo Salah,Egypt,Liverpool FC ,10
5,Heung-min Son,South Korea,Tottenham Hotspur ,10
6, Adama Traoré,Spain,Wolverhampton Wanderers ,9
7,Riyad Mahrez,Algeria,Manchester City ,9
8,Harvey Barnes,England,Leicester City ,8
9, Roberto Firmino,Brazil,Liverpool FC ,8
10, Bernardo Silva,Portugal,Manchester City ,7
11, Bruno Fernandes,Portugal,Manchester United ,7
12,Emiliano Buendia,Argentina,Norwich City ,7
13,Lucas Digne,France,Everton FC ,7
14, Gabriel Jesus,Brazil,Manchester City ,7
15,Sadio Mané,Senegal,Liverpool FC ,7
16,Marcus Rashford,England,Manchester United ,7
17, Willian,Brazil,Chelsea FC ,7
18, Azpilicueta,Spain,Chelsea FC ,6
19,Dan James,Wales,Manchester United ,6
20,Raúl Jiménez,Mexico,Wolverhampton Wanderers ,6
21, João Moutinho,Portugal,Wolverhampton Wanderers ,6
22,Anthony Martial,France,Manchester United ,6
23,Dwight McNeil,England,Burnley FC ,6
24,Youri Tielemans,Belgium,Leicester City ,6
25,Ashley Westwood,England,Burnley FC ,6
26,Sèrge Aurier,Ivory Coast,Tottenham Hotspur ,5
27, Gerard Deulofeu,Spain,Watford FC ,5
28,Jack Grealish,England,Aston Villa ,5
29,Jordan Henderson,England,Liverpool FC ,5
30,Conor Hourihane,Ireland,Aston Villa ,5
31,Callum Hudson-Odoi,England,Chelsea FC ,5
32,Mason Mount,England,Chelsea FC ,5
33, Pablo Fornals,Spain,West Ham United ,5
34,Nicolas Pépé,Ivory Coast,Arsenal FC ,5
35,Bukayo Saka,England,Arsenal FC ,5
36,Robert Snodgrass,Scotland,West Ham United ,5
37,Jamie Vardy,England,Leicester City ,5
38,Dele Alli,England,Tottenham Hotspur ,4
39, Ayoze Pérez,Spain,Leicester City ,4
40,Ross Barkley,England,Chelsea FC ,4
41,Jarrod Bowen,England,West Ham United ,4
42,Andy Carroll,England,Newcastle United ,4
43, Diego Rico,Spain,AFC Bournemouth ,4
44,Anwar El Ghazi,Netherlands,Aston Villa ,4
45, Felipe Anderson,Brazil,West Ham United ,4
46,Ryan Fraser,Scotland,AFC Bournemouth ,4
47,Pascal Groß,Germany,Brighton & Hove Albion ,4
48,Joshua King,Norway,AFC Bournemouth ,4
49,Alexandre Lacazette,France,Arsenal FC ,4
50, Lucas Moura,Brazil,Tottenham Hotspur ,4
51,Lys Mousset,France,Sheffield United ,4
52,Erik Pieters,Netherlands,Burnley FC ,4
53,Christian Pulišić,USA,Chelsea FC ,4
