Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,83,15.8,,60.8,89.4,,
2. Manchester United,73,13.8,,19.3,84.8,,
3. Aston Villa,55,13.7,,49.1,78.6,,
4. Chelsea,58,14.6,,26.1,87,,
5. Liverpool,68,16,,59,85.7,,
6. Tottenham,68,11.7,,51.3,81.8,,
7. Leicester,68,12.8,,53.2,82.1,,
8. Leeds,62,13.7,,55.1,80.8,,
9. West Ham,62,12.3,,44.5,77.8,,
10. Everton,47,10.5,,47.3,81.4,,
11. Arsenal,55,12.1,,52.7,85,,
12. Wolves,36,12.2,,49.7,83.2,,
13. Brighton,40,12.8,,50.7,81.3,,
14. Burnley,33,10.1,,43.5,71.6,,
15. Fulham,27,11.6,,50,81.2,,
16. Southampton,47,11.2,,51.4,79.3,,
17. Newcastle,46,10.4,,41.6,76,,
18. Crystal Palace,41,9.2,,42.9,76.1,,
19. West Bromwich Albion,35,8.9,,41,72.2,,
20. Sheffield United,20,8.5,,43,76.9,,
