,Player,Country,Team,goal,penalty
0,Harry Kane,England,Tottenham Hotspur ,23,4
1,Mo Salah,Egypt,Liverpool FC ,22,6
2, Bruno Fernandes,Portugal,Manchester United ,18,9
3,Patrick Bamford,England,Leeds United ,17,2
4,Heung-min Son,South Korea,Tottenham Hotspur ,17,1
5,Dominic Calvert-Lewin,England,Everton FC ,16,0
6,Jamie Vardy,England,Leicester City ,15,8
7,Ollie Watkins,England,Aston Villa ,14,1
8,İlkay Gündoğan,Germany,Manchester City ,13,1
9,Alexandre Lacazette,France,Arsenal FC ,13,3
10,Kelechi Iheanacho,Nigeria,Leicester City ,12,0
11,Danny Ings,England,Southampton FC ,12,2
12,Callum Wilson,England,Newcastle United ,12,4
13,Chris Wood,New Zealand,Burnley FC ,12,2
14,Gareth Bale,Wales,Tottenham Hotspur ,11,0
15,Sadio Mané,Senegal,Liverpool FC ,11,0
16, Matheus Pereira,Brazil,West Bromwich Albion ,11,4
17,Marcus Rashford,England,Manchester United ,11,0
18,Wilfried Zaha,Ivory Coast,Crystal Palace ,11,2
19,Michail Antonio,Jamaica,West Ham United ,10,0
20,Pierre-Emerick Aubameyang,Gabon,Arsenal FC ,10,2
21,Christian Benteke,Belgium,Crystal Palace ,10,0
22,Édinson Cavani,Uruguay,Manchester United ,10,0
23,Anwar El Ghazi,Netherlands,Aston Villa ,10,4
24,Nicolas Pépé,Ivory Coast,Arsenal FC ,10,1
25,Tomáš Souček,Czech Republic,West Ham United ,10,0
26,Raheem Sterling,England,Manchester City ,10,0
27,Ché Adams,Scotland,Southampton FC ,9,0
28,Harvey Barnes,England,Leicester City ,9,0
29, Diogo Jota,Portugal,Liverpool FC Wolverhampton Wanderers ,9,0
30,Phil Foden,England,Manchester City ,9,0
31, Gabriel Jesus,Brazil,Manchester City ,9,0
32,Jesse Lingard,England,Manchester United West Ham United ,9,1
33,Riyad Mahrez,Algeria,Manchester City ,9,0
34, Roberto Firmino,Brazil,Liverpool FC ,9,0
35,Jarrod Bowen,England,West Ham United ,8,0
36,Stuart Dallas,Northern Ireland,Leeds United ,8,0
37,Jack Harrison,England,Leeds United ,8,0
38,James Maddison,England,Leicester City ,8,0
39,Neal Maupay,France,Brighton & Hove Albion ,8,3
40,David McGoldrick,Ireland,Sheffield United ,8,0
41,James Ward-Prowse,England,Southampton FC ,8,3
42,Joe Willock,England,Arsenal FC Newcastle United ,8,0
43, Ferran Torres,Spain,Manchester City ,7,0
44,Mason Greenwood,England,Manchester United ,7,0
45, Jorginho,Italy,Chelsea FC ,7,7
46, Richarlison,Brazil,Everton FC ,7,1
47, Rodrigo,Spain,Leeds United ,7,0
48,Bertrand Traoré,Burkina Faso,Aston Villa ,7,0
49,Tammy Abraham,England,Chelsea FC ,6,0
50,Kevin De Bruyne,Belgium,Manchester City ,6,2
51,Jack Grealish,England,Aston Villa ,6,0
52,Mason Mount,England,Chelsea FC ,6,1
53, Raphinha,Brazil,Leeds United ,6,0
54,James Rodríguez,Colombia,Everton FC ,6,0
55,Gylfi Sigurðsson,Iceland,Everton FC ,6,3
56,Youri Tielemans,Belgium,Leicester City ,6,2
57,Danny Welbeck,England,Brighton & Hove Albion ,6,0
58,Timo Werner,Germany,Chelsea FC ,6,0
59,Bobby Decordova-Reid,Jamaica,Fulham FC ,5,0
60,Lewis Dunk,England,Brighton & Hove Albion ,5,0
61, Pablo Fornals,Spain,West Ham United ,5,0
62, Pedro Neto,Portugal,Wolverhampton Wanderers ,5,0
63,Callum Robinson,Ireland,West Bromwich Albion ,5,0
64, Rúben Neves,Portugal,Wolverhampton Wanderers ,5,3
65,Bukayo Saka,England,Arsenal FC ,5,0
66,Leandro Trossard,Belgium,Brighton & Hove Albion ,5,0
67,Kurt Zouma,France,Chelsea FC ,5,0
68,Sergio Agüero,Argentina,Manchester City ,4,1
69,Miguel Almirón,Paraguay,Newcastle United ,4,0
70,Stuart Armstrong,Scotland,Southampton FC ,4,0
71,Eberechi Eze,England,Crystal Palace ,4,0
72, Fábio Silva,Portugal,Wolverhampton Wanderers ,4,1
73,Olivier Giroud,France,Chelsea FC ,4,0
74,Kai Havertz,Germany,Chelsea FC ,4,0
75,Raúl Jiménez,Mexico,Wolverhampton Wanderers ,4,0
76, Joelinton,Brazil,Newcastle United ,4,1
77,Mateusz Klich,Poland,Leeds United ,4,2
78,Ademola Lookman,Nigeria,Fulham FC ,4,0
79,Anthony Martial,France,Manchester United ,4,0
80,Scott McTominay,Scotland,Manchester United ,4,0
81,Christian Pulišić,USA,Chelsea FC ,4,0
82,John Stones,England,Manchester City ,4,0
83,Ross Barkley,England,Aston Villa Chelsea FC ,3,0
84,Ashley Barnes,England,Burnley FC ,3,1
85,Kyle Bartley,England,West Bromwich Albion ,3,0
86,Ben Chilwell,England,Chelsea FC ,3,0
87,Craig Dawson,England,West Ham United ,3,0
88,Mbaye Diagne,Senegal,West Bromwich Albion ,3,0
89,Pascal Groß,Germany,Brighton & Hove Albion ,3,3
90,Sébastien Haller,Ivory Coast,West Ham United ,3,0
91, Hélder Costa,Angola,Leeds United ,3,0
92, Ivan Cavaleiro,Portugal,Fulham FC ,3,1
93,Dan James,Wales,Manchester United ,3,0
94,Michael Keane,England,Everton FC ,3,0
