Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,38,15.6,,63.4,88.2,,
2. Liverpool,34,12.6,,57.5,83,,
3. Tottenham,33,12,,55,81.6,,
4. Crystal Palace,32,10.5,,44.7,75.7,,
5. Manchester United,32,12.7,,52.2,81.7,,
6. Leicester,27,11.4,,48.4,76.6,,
7. Chelsea,24,14.8,,59.2,87.8,,
8. Newcastle,18,9.4,,40.1,71.1,,
9. Everton,24,11.5,,49.4,76.1,,
10. West Ham,20,10.3,,48.6,77.5,,
11. Wolves,19,10.9,,47.1,77.2,,
12. Burnley,21,7.8,,42,68.7,,
13. Watford,26,11.2,,47.4,75.4,,
14. Arsenal,31,11.1,,54,82.5,,
15. Cardiff,13,9.8,,38.1,63.8,,
16. Southampton,18,11.9,,45.1,72.9,,
17. Bournemouth,26,11.5,,47.8,79.4,,
18. Brighton,16,8.7,,42.8,74.2,,
19. Fulham,12,9.5,,48.9,80.3,,
20. Huddersfield,12,10.4,,45.8,75.5,,
