Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,94,15.8,,65.2,89.2,,
2. Arsenal,88,15.6,,59.7,85.4,,
3. Newcastle,68,15,,52.2,79.8,,
4. Manchester United,58,15.6,,53.8,82.3,,
5. Liverpool,75,15.9,,60.6,84.2,,
6. Brighton,72,16.1,,60.5,85.9,,
7. Tottenham,70,13.6,,49.8,83.4,,
8. Brentford,58,10.7,,43.3,74.8,,
9. Aston Villa,51,11.3,,49.2,81.1,,
10. Chelsea,38,12.7,,58.8,85.8,,
11. Everton,34,11.3,,42.5,77,,
12. Crystal Palace,40,11.2,,45.8,79.3,,
13. Fulham,55,11.3,,48.6,80,,
14. West Ham,42,12.5,,41.4,78.2,,
15. Leicester,51,11,,47.7,80.3,,
16. Bournemouth,37,9.4,,40,77.5,,
17. Wolves,31,10.8,,50.1,81.3,,
18. Southampton,36,11,,44.1,77.3,,
19. Leeds,48,12.2,,46.3,74.9,,
20. Nottingham Forest,38,9.7,,37.2,72.3,,
