Team,Goals,Shots pg,,Possession%,Pass%,,
1. Liverpool,49,21.3,,65.9,86,,
2. Manchester City,58,18.9,,69,90.1,,
3. Tottenham,38,13.7,,51.4,84.8,,
4. Chelsea,37,17.2,,63.2,87.3,,
5. Arsenal,35,18.3,,55.6,84.5,,
6. Leicester,34,12.5,,52.6,82.7,,
7. West Ham,33,12.5,,46.8,79.6,,
8. Manchester United,32,14.7,,52.8,83.8,,
9. Crystal Palace,27,12.2,,53,80.2,,
10. Burnley,18,12.1,,40,70.3,,
11. Southampton,23,12.4,,44.8,75.9,,
12. Everton,27,11.9,,39.6,72.3,,
13. Brentford,22,12.3,,44.7,73,,
14. Newcastle,26,12.6,,37.3,72.2,,
15. Aston Villa,29,12.9,,46.8,81.3,,
16. Wolves,20,11.7,,50.9,82.3,,
17. Brighton,19,14.7,,54.7,82.8,,
18. Leeds,19,13.9,,53.6,78.7,,
19. Watford,17,11.5,,41.5,73.3,,
20. Norwich,12,10.6,,41.5,76.7,,
