,Player,Country,Team,Assists
0,Eden Hazard,Belgium,Chelsea FC ,15
1,Ryan Fraser,Scotland,AFC Bournemouth ,14
2,Trent Alexander-Arnold,England,Liverpool FC ,12
3,Christian Eriksen,Denmark,Tottenham Hotspur ,12
4,Andy Robertson,Scotland,Liverpool FC ,11
5,Leroy Sané,Germany,Manchester City ,10
6,Paul Pogba,France,Manchester United ,9
7,Raheem Sterling,England,Manchester City ,9
8,Callum Wilson,England,AFC Bournemouth ,9
9,Sergio Agüero,Argentina,Manchester City ,8
10, David Silva,Spain,Manchester City ,8
11, João Moutinho,Portugal,Wolverhampton Wanderers ,8
12,Alexandre Lacazette,France,Arsenal FC ,8
13,Matt Ritchie,Scotland,Newcastle United ,8
14,Mo Salah,Egypt,Liverpool FC ,8
15, Bernardo Silva,Portugal,Manchester City ,7
16,Raúl Jiménez,Mexico,Wolverhampton Wanderers ,7
17,James Maddison,England,Leicester City ,7
18,Salomón Rondón,Venezuela,Newcastle United ,7
19,Ashley Westwood,England,Burnley FC ,7
20,José Cholevas,Greece,Watford FC ,6
21,Abdoulaye Doucouré,Mali,Watford FC ,6
22,Jóhann Guðmundsson,Iceland,Burnley FC ,6
23,Alex Iwobi,Nigeria,Arsenal FC ,6
24,Anthony Knockaert,France,Brighton & Hove Albion ,6
25,James McArthur,Scotland,Crystal Palace ,6
26,Aaron Ramsey,Wales,Arsenal FC ,6
27,Marcus Rashford,England,Manchester United ,6
28, Ricardo Pereira,Portugal,Leicester City ,6
29, Roberto Firmino,Brazil,Liverpool FC ,6
30,Ryan Sessegnon,England,Fulham FC ,6
31,Gylfi Sigurðsson,Iceland,Everton FC ,6
32,Heung-min Son,South Korea,Tottenham Hotspur ,6
33, Willian,Brazil,Chelsea FC ,6
34,Pierre-Emerick Aubameyang,Gabon,Arsenal FC ,5
35, Azpilicueta,Spain,Chelsea FC ,5
36,Ross Barkley,England,Chelsea FC ,5
37,David Brooks,Wales,AFC Bournemouth ,5
38,Troy Deeney,England,Watford FC ,5
39, Diogo Jota,Portugal,Wolverhampton Wanderers ,5
40,Matt Doherty,Ireland,Wolverhampton Wanderers ,5
41, Gerard Deulofeu,Spain,Watford FC ,5
42, Héctor Bellerín,Spain,Arsenal FC ,5
43,Sead Kolašinac,Bosnia-Herzegovina,Arsenal FC ,5
44,Solly March,England,Brighton & Hove Albion ,5
45,Dwight McNeil,England,Burnley FC ,5
46,Benjamin Mendy,France,Manchester City ,5
47,Mark Noble,England,West Ham United ,5
48,Robert Snodgrass,Scotland,West Ham United ,5
49,Wilfried Zaha,Ivory Coast,Crystal Palace ,5
50,Michail Antonio,Jamaica,West Ham United ,4
51,Marko Arnautović,Austria,West Ham United ,4
52,Ben Chilwell,England,Leicester City ,4
53,Lucas Digne,France,Everton FC ,4
54, Felipe Anderson,Brazil,West Ham United ,4
55,Olivier Giroud,France,Chelsea FC ,4
56,Isaac Hayden,England,Newcastle United ,4
57,Will Hughes,England,Watford FC ,4
58,Harry Kane,England,Tottenham Hotspur ,4
59,N'Golo Kanté,France,Chelsea FC ,4
60, Llorente,Spain,Tottenham Hotspur ,4
61,Riyad Mahrez,Algeria,Manchester City ,4
62, Marcos Alonso,Spain,Chelsea FC ,4
63,James Milner,England,Liverpool FC ,4
64,Henrikh Mkhitaryan,Armenia,Arsenal FC ,4
65,Nathan Redmond,England,Southampton FC ,4
66,Luke Shaw,England,Manchester United ,4
67,Youri Tielemans,Belgium,Leicester City ,4
68,Andros Townsend,England,Crystal Palace ,4
69,Jamie Vardy,England,Leicester City ,4
70, Víctor Camarasa,Spain,Cardiff City ,4
71,Luciano Vietto,Argentina,Fulham FC ,4
72,Dele Alli,England,Tottenham Hotspur ,3
73, Ander Herrera,Spain,Manchester United ,3
74,Ryan Babel,Netherlands,Fulham FC ,3
75, Bernard,Brazil,Everton FC ,3
76,Étienne Capoue,France,Watford FC ,3
77, Fernandinho,Brazil,Manchester City ,3
78, Gabriel Jesus,Brazil,Manchester City ,3
79,Pascal Groß,Germany,Brighton & Hove Albion ,3
80,İlkay Gündoğan,Germany,Manchester City ,3
81,Jordan Henderson,England,Liverpool FC ,3
82,Pierre-Emile Højbjerg,Denmark,Southampton FC ,3
83,Kelechi Iheanacho,Nigeria,Leicester City ,3
84,Danny Ings,England,Southampton FC ,3
85,Joshua King,Norway,AFC Bournemouth ,3
86,Aymeric Laporte,Spain,Manchester City ,3
87, Manquillo,Spain,Newcastle United ,3
88,Aleksandar Mitrović,Serbia,Fulham FC ,3
89,Sean Morrison,England,Cardiff City ,3
90,Steve Mounié,Benin,Huddersfield Town ,3
91, Nacho Monreal,Spain,Arsenal FC ,3
92,Danny Rose,England,Tottenham Hotspur ,3
93, Rúben Neves,Portugal,Wolverhampton Wanderers ,3
94,Alexis Sánchez,Chile,Manchester United ,3
95,Xherdan Shaqiri,Switzerland,Liverpool FC ,3
96,Moussa Sissoko,France,Tottenham Hotspur ,3
97,Junior Stanislas,England,AFC Bournemouth ,3
98,Matt Targett,England,Southampton FC ,3
99,Cenk Tosun,Turkey,Everton FC ,3
100,Kieran Trippier,England,Tottenham Hotspur ,3
101,Kyle Walker-Peters,England,Tottenham Hotspur ,3
102,Aaron Wan-Bissaka,England,Crystal Palace ,3
103,Oleksandr Zinchenko,Ukraine,Manchester City ,3
104,Marc Albrighton,England,Leicester City ,2
105,Stuart Armstrong,Scotland,Southampton FC ,2
106,Sèrge Aurier,Ivory Coast,Tottenham Hotspur ,2
107,Charlie Austin,England,Southampton FC ,2
108,Jordan Ayew,Ghana,Crystal Palace ,2
109, Ayoze Pérez,Spain,Newcastle United ,2
110,Ashley Barnes,England,Burnley FC ,2
111,Harvey Barnes,England,Leicester City ,2
112,Dominic Calvert-Lewin,England,Everton FC ,2
113, Cédric,Portugal,Southampton FC ,2
