,Player,Country,Team,Assists
114,Séamus Coleman,Ireland,Everton FC ,2
115,Jack Cork,England,Burnley FC ,2
116, David Luiz,Brazil,Chelsea FC ,2
117,Kevin De Bruyne,Belgium,Manchester City ,2
118,Bobby Decordova-Reid,Jamaica,Cardiff City ,2
119, Diogo Dalot,Portugal,Manchester United ,2
120, Fabinho,Brazil,Liverpool FC ,2
121,Simon Francis,England,AFC Bournemouth ,2
122,Andre Gray,Jamaica,Watford FC ,2
123,Idrissa Gueye,Senegal,Everton FC ,2
124, Hélder Costa,Angola,Wolverhampton Wanderers ,2
125,Daryl Janmaat,Netherlands,Watford FC ,2
126,Michael Keane,England,Everton FC ,2
127,Cheikhou Kouyaté,Senegal,Crystal Palace ,2
128,Mateo Kovačić,Croatia,Chelsea FC ,2
129,Érik Lamela,Argentina,Tottenham Hotspur ,2
130,Jesse Lingard,England,Manchester United ,2
131,Ruben Loftus-Cheek,England,Chelsea FC ,2
132,Ademola Lookman,Nigeria,Everton FC ,2
133,Chris Löwe,Germany,Huddersfield Town ,2
134,Anthony Martial,France,Manchester United ,2
135, Mata,Spain,Manchester United ,2
136,Ben Mee,England,Burnley FC ,2
137,Max Meyer,Germany,Crystal Palace ,2
138,Luka Milivojević,Serbia,Crystal Palace ,2
139,Josh Murphy,England,Cardiff City ,2
140,Samir Nasri,France,West Ham United ,2
141,Mesut Özil,Germany,Arsenal FC ,2
142,Sokratis Papastathopoulos,Greece,Arsenal FC ,2
143, Pedro,Spain,Chelsea FC ,2
144,Ken Sema,Sweden,Watford FC ,2
145,Jean Seri,Ivory Coast,Fulham FC ,2
146,Lucas Torreira,Uruguay,Arsenal FC ,2
147,Patrick van Aanholt,Netherlands,Crystal Palace ,2
148,Virgil van Dijk,Netherlands,Liverpool FC ,2
149,Theo Walcott,England,Everton FC ,2
150,Chris Wood,New Zealand,Burnley FC ,2
151,Granit Xhaka,Switzerland,Arsenal FC ,2
152,DeAndre Yedlin,USA,Newcastle United ,2
153,Ashley Young,England,Manchester United ,2
154,Kurt Zouma,France,Everton FC ,2
155, Adama Traoré,Spain,Wolverhampton Wanderers ,1
156, André Gomes,Portugal,Everton FC ,1
157, Andreas Pereira,Brazil,Manchester United ,1
158,Harry Arter,Ireland,Cardiff City ,1
159,Sol Bamba,Ivory Coast,Cardiff City ,1
160,Jan Bednarek,Poland,Southampton FC ,1
161,Joe Bennett,England,Cardiff City ,1
162,Christian Benteke,Belgium,Crystal Palace ,1
163, Bernardo,Brazil,Brighton & Hove Albion ,1
164,Robbie Brady,Ireland,Burnley FC ,1
165, Bruno Saltor,Spain,Brighton & Hove Albion ,1
166,Joe Bryan,England,Fulham FC ,1
167,Tom Cairney,England,Fulham FC ,1
168,Cyrus Christie,Ireland,Fulham FC ,1
169,Nathaniel Clyne,England,AFC Bournemouth Liverpool FC ,1
170,Steve Cook,England,AFC Bournemouth ,1
171,Aaron Cresswell,England,West Ham United ,1
172,Scott Dann,England,Crystal Palace ,1
173,Steven Davis,Northern Ireland,Southampton FC ,1
174,Fabian Delph,England,Manchester City ,1
175,Laurent Depoitre,Belgium,Huddersfield Town ,1
176,Grady Diangana,England,West Ham United ,1
177,Shane Duffy,Ireland,Brighton & Hove Albion ,1
178,Lewis Dunk,England,Brighton & Hove Albion ,1
179,Erik Durm,Germany,Huddersfield Town ,1
180,Bruno Écuélé Manga,Gabon,Cardiff City ,1
181, Ederson,Brazil,Manchester City ,1
182,Marouane Fellaini,Belgium,Manchester United ,1
183,Federico Fernández,Argentina,Newcastle United ,1
184, Fred,Brazil,Manchester United ,1
185,Morgan Gibbs-White,England,Wolverhampton Wanderers ,1
186,Dan Gosling,England,AFC Bournemouth ,1
187,Demarai Gray,Jamaica,Leicester City ,1
188,Aron Gunnarsson,Iceland,Cardiff City ,1
189,Javier Hernández,Mexico,West Ham United ,1
190,Jonathan Hogg,England,Huddersfield Town ,1
191,Junior Hoilett,Canada,Cardiff City ,1
192,Callum Hudson-Odoi,England,Chelsea FC ,1
193,Jordon Ibe,England,AFC Bournemouth ,1
194, Ivan Cavaleiro,Portugal,Wolverhampton Wanderers ,1
195,José Izquierdo,Colombia,Brighton & Hove Albion ,1
196,Phil Jones,England,Manchester United ,1
197, Jonny,Spain,Wolverhampton Wanderers ,1
198,Beram Kayal,Israel,Brighton & Hove Albion ,1
199,Naby Keïta,Guinea,Liverpool FC ,1
200, Kenedy,Brazil,Newcastle United ,1
201,Jonjoe Kenny,England,Everton FC ,1
202,Sung-yueng Ki,South Korea,Newcastle United ,1
203, Kiko Femenía,Spain,Watford FC ,1
204,Terence Kongolo,Netherlands,Huddersfield Town ,1
205,Manuel Lanzini,Argentina,West Ham United ,1
206,Jamaal Lascelles,England,Newcastle United ,1
207,Maxime Le Marchand,France,Fulham FC ,1
208,Mario Lemina,Gabon,Southampton FC ,1
209,Aaron Lennon,England,Burnley FC ,1
210, Léo Bonatini,Brazil,Wolverhampton Wanderers ,1
211,Victor Lindelöf,Sweden,Manchester United ,1
212,Kevin Long,Ireland,Burnley FC ,1
213,Shane Long,Ireland,Southampton FC ,1
214,Jonas Lössl,Denmark,Huddersfield Town ,1
215,Ainsley Maitland-Niles,England,Arsenal FC ,1
216,Sadio Mané,Senegal,Liverpool FC ,1
217, Martín Montoya,Spain,Brighton & Hove Albion ,1
218,Adam Masina,Morocco,Watford FC ,1
219,Arthur Masuaku,Congo DR,West Ham United ,1
220,Isaac Mbenza,Belgium,Huddersfield Town ,1
221,Nathaniel Mendez-Laing,Guatemala,Cardiff City ,1
222,Chris Mepham,Wales,AFC Bournemouth ,1
223,Aaron Mooy,Australia,Huddersfield Town ,1
224,Jacob Murphy,England,Newcastle United ,1
225,Glenn Murray,England,Brighton & Hove Albion ,1
226,Georges-Kévin N'Koudou,Cameroon,Tottenham Hotspur ,1
227,Håvard Nordtveit,Norway,Fulham FC ,1
228,Michael Obafemi,Ireland,Southampton FC ,1
229,Denis Odoi,Belgium,Fulham FC ,1
230,Angelo Ogbonna,Italy,West Ham United ,1
231,Shinji Okazaki,Japan,Leicester City ,1
232,Divock Origi,Belgium,Liverpool FC ,1
233,Callum Paterson,Scotland,Cardiff City ,1
234, Pedro Obiang,Equatorial Guinea,West Ham United ,1
235,Roberto Pereyra,Argentina,Watford FC ,1
236,Davy Pröpper,Netherlands,Brighton & Hove Albion ,1
237, Richarlison,Brazil,Everton FC ,1
238,Davinson Sánchez,Colombia,Tottenham Hotspur ,1
239,Fabian Schär,Switzerland,Newcastle United ,1
240,Jeffrey Schlupp,Ghana,Crystal Palace ,1
241,Morgan Schneiderlin,France,Everton FC ,1
242,Jonjo Shelvey,England,Newcastle United ,1
243,Josh Sims,England,Southampton FC ,1
244,Adam Smith,England,AFC Bournemouth ,1
245,Dominic Solanke,England,AFC Bournemouth ,1
246,Dale Stephens,England,Brighton & Hove Albion ,1
247,Daniel Sturridge,England,Liverpool FC ,1
248,Isaac Success,Nigeria,Watford FC ,1
249,James Tarkowski,England,Burnley FC ,1
250,Charlie Taylor,England,Burnley FC ,1
251,James Tomkins,England,Crystal Palace ,1
252,Yan Valery,France,Southampton FC ,1
253,Matěj Vydra,Czech Republic,Burnley FC ,1
254,Kyle Walker,England,Manchester City ,1
255,Danny Welbeck,England,Arsenal FC ,1
256,Connor Wickham,England,Crystal Palace ,1
257,Jack Wilshere,England,West Ham United ,1
258,Maya Yoshida,Japan,Southampton FC ,1
259,Pablo Zabaleta,Argentina,West Ham United ,1
260, Zanka,Denmark,Huddersfield Town ,1
261,Kenneth Zohoré,Denmark,Cardiff City ,1
