RK,TEAM,P,YC,RC,PTS
1,Sheffield United,38,73,3,82
2,Aston Villa,38,67,4,79
3,Fulham,38,67,3,76
4,Newcastle United,38,62,3,71
5,Manchester United,38,64,1,67
6,Everton,38,59,2,65
7,Leeds United,38,61,1,64
8,West Bromwich Albion,38,51,4,63
,Arsenal,38,48,5,63
,Brighton & Hove Albion,38,45,6,63
11,Crystal Palace,38,55,2,61
,Southampton,38,52,3,61
,Leicester City,38,61,0,61
,Tottenham Hotspur,38,55,2,61
15,Chelsea,38,50,3,59
16,West Ham United,38,49,3,58
17,Wolverhampton Wanderers,38,54,1,57
18,Manchester City,38,46,2,52
19,Burnley,38,48,0,48
20,Liverpool,38,40,0,40
