Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,60,16.7,,65.6,89.8,,
2. Manchester United,36,18.1,,52.8,83,,
3. Arsenal,53,18.6,,62.5,86,,
4. Liverpool,46,17.3,,60.2,84,,
5. Newcastle,36,18.1,,54,80.9,,
6. Tottenham,37,15.2,,50.9,83.8,,
7. Brighton,37,18.5,,60.3,86.5,,
8. Brentford,35,12.5,,43.7,74.5,,
9. Aston Villa,33,11.9,,49.7,81.7,,
10. West Ham,26,13.8,,41.7,79.3,,
11. Chelsea,20,13.7,,59.1,85.7,,
12. Crystal Palace,21,12.2,,46.5,79.1,,
13. Everton,16,12.2,,43.7,77.6,,
14. Fulham,31,12.6,,50.6,79.9,,
15. Nottingham Forest,27,10.2,,36.4,72.1,,
16. Wolves,19,11.2,,48.5,79.8,,
17. Leicester,23,11.1,,48,80.3,,
18. Bournemouth,20,10.4,,40.9,77.8,,
19. Leeds,26,13.3,,47.3,76.7,,
20. Southampton,19,12,,44.1,77,,
