Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,99,18.8,,68.2,89.7,,
2. Liverpool,94,19.2,,63.1,84.9,,
3. Chelsea,76,15.6,,62.2,87.1,,
4. Tottenham,69,12.9,,51.9,85,,
5. West Ham,60,11.8,,47.4,80.6,,
6. Crystal Palace,50,10.8,,50.8,80.3,,
7. Arsenal,61,15.5,,52.6,83.4,,
8. Manchester United,57,13.4,,52.1,82.8,,
9. Brighton,42,12.9,,54.3,81.7,,
10. Leicester,62,11.4,,51.8,81.8,,
11. Wolves,38,10.6,,49.3,81.3,,
12. Aston Villa,52,12.2,,46.3,79.7,,
13. Burnley,34,10.7,,39.1,69.2,,
14. Brentford,48,11.6,,44.3,73.7,,
15. Southampton,43,12.7,,47.4,76.6,,
16. Newcastle,44,11.8,,39.3,74.6,,
17. Everton,43,11.5,,39.1,73.3,,
18. Leeds,42,12.8,,51.9,78,,
19. Watford,34,10.5,,39.7,72.9,,
20. Norwich,23,9.8,,42.3,77.5,,
