Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,57,20.8,,62.8,89.8,,
2. Liverpool,52,16.5,,58.7,84.1,,
3. Leicester,35,13.9,,54.6,82.6,,
4. Chelsea,30,17.5,,57.6,85.6,,
5. Manchester United,40,15.8,,54.6,83.9,,
6. Tottenham,36,12.9,,51.4,82.7,,
7. Wolves,27,12.4,,50.6,80.8,,
8. Arsenal,36,12.1,,52.5,82.9,,
9. Sheffield United,24,10.9,,46.1,74,,
10. Burnley,24,11.6,,45.8,70.6,,
11. Everton,24,13.2,,49.2,78.2,,
12. Newcastle,20,12.3,,43,75.1,,
13. West Ham,30,11.6,,46.3,77.4,,
14. Crystal Palace,15,12.2,,46.6,76.6,,
15. Aston Villa,22,13,,46.6,78,,
16. Watford,22,12.8,,44.4,73.9,,
17. Bournemouth,22,10.5,,45.7,74.6,,
18. Brighton,20,12.4,,52.8,81,,
19. Southampton,21,12.6,,49.6,74.2,,
20. Norwich,19,11.4,,50,80.5,,
