,Player,Country,Team,Assists
0,Mo Salah,Egypt,Liverpool FC ,13
1,Trent Alexander-Arnold,England,Liverpool FC ,12
2,Harvey Barnes,England,Leicester City ,10
3,Jarrod Bowen,England,West Ham United ,10
4,Mason Mount,England,Chelsea FC ,10
5,Andy Robertson,Scotland,Liverpool FC ,10
6,Reece James,England,Chelsea FC ,9
7,Harry Kane,England,Tottenham Hotspur ,9
8,Paul Pogba,France,Manchester United ,9
9,Michail Antonio,Jamaica,West Ham United ,8
10,Kevin De Bruyne,Belgium,Manchester City ,8
11, Gabriel Jesus,Brazil,Manchester City ,8
12,Dejan Kulusevski,Sweden,Tottenham Hotspur ,8
13,James Maddison,England,Leicester City ,8
14, João Cancelo,Portugal,Manchester City ,7
15,Alexandre Lacazette,France,Arsenal FC ,7
16,Bryan Mbeumo,Cameroon,Brentford FC ,7
17,Bukayo Saka,England,Arsenal FC ,7
18,Heung-min Son,South Korea,Tottenham Hotspur ,7
19,Saïd Benrahma,Algeria,West Ham United ,6
20, Bruno Fernandes,Portugal,Manchester United ,6
21,Emiliano Buendia,Argentina,Aston Villa ,6
22,Emmanuel Dennis,Nigeria,Watford FC ,6
23, Gabriel Martinelli,Brazil,Arsenal FC ,6
24,Danny Ings,England,Aston Villa ,6
25, Lucas Moura,Brazil,Tottenham Hotspur ,6
26,Phil Foden,England,Manchester City ,5
27,Jordan Henderson,England,Liverpool FC ,5
28,Kelechi Iheanacho,Nigeria,Leicester City ,5
29, Kiko Femenía,Spain,Watford FC ,5
30,Mateo Kovačić,Croatia,Chelsea FC ,5
31,Riyad Mahrez,Algeria,Manchester City ,5
32,Michael Olise,France,Crystal Palace ,5
33,Nathan Redmond,England,Southampton FC ,5
34, Richarlison,Brazil,Everton FC ,5
35,Allan Saint-Maximin,France,Newcastle United ,5
36,Raheem Sterling,England,Manchester City ,5
37,Ivan Toney,England,Brentford FC ,5
38,James Ward-Prowse,England,Southampton FC ,5
39, Alex Telles,Brazil,Manchester United ,4
40,Rodrigo Bentancur,Uruguay,Tottenham Hotspur ,4
41, Bernardo Silva,Portugal,Manchester City ,4
42,Vladimír Coufal,Czech Republic,West Ham United ,4
43,Lucas Digne,France,Aston Villa Everton FC ,4
44, Diogo Jota,Portugal,Liverpool FC ,4
45,Matt Doherty,Ireland,Tottenham Hotspur ,4
46,Abdoulaye Doucouré,Mali,Everton FC ,4
47,Christian Eriksen,Denmark,Brentford FC ,4
48, Fred,Brazil,Manchester United ,4
49,Demarai Gray,Jamaica,Everton FC ,4
50,Pascal Groß,Germany,Brighton & Hove Albion ,4
51,İlkay Gündoğan,Germany,Manchester City ,4
52,Dan James,Wales,Leeds United Manchester United ,4
53,Raúl Jiménez,Mexico,Wolverhampton Wanderers ,4
54,N'Golo Kanté,France,Chelsea FC ,4
55, Marcos Alonso,Spain,Chelsea FC ,4
56,Nemanja Matić,Serbia,Manchester United ,4
57,John McGinn,Scotland,Aston Villa ,4
58,Enock Mwepu,Zambia,Brighton & Hove Albion ,4
59,Christian Nørgaard,Denmark,Brentford FC ,4
60,Martin Ødegaard,Norway,Arsenal FC ,4
61,Declan Rice,England,West Ham United ,4
62, Roberto Firmino,Brazil,Liverpool FC ,4
63, Rúben Dias,Portugal,Manchester City ,4
64, Thiago,Spain,Liverpool FC ,4
65,Youri Tielemans,Belgium,Leicester City ,4
66,Oleksandr Zinchenko,Ukraine,Manchester City ,4
67,Ché Adams,Scotland,Southampton FC ,3
68,Kristoffer Ajer,Norway,Brentford FC ,3
69,Joachim Andersen,Denmark,Crystal Palace ,3
70,Jordan Ayew,Ghana,Crystal Palace ,3
71, Ayoze Pérez,Spain,Leicester City ,3
72,Josh Brownhill,England,Burnley FC ,3
73,Matty Cash,Poland,Aston Villa ,3
74, Chiquinho,Portugal,Wolverhampton Wanderers ,3
75,Aaron Cresswell,England,West Ham United ,3
76, Cristiano Ronaldo,Portugal,Manchester United ,3
77,Patson Daka,Zambia,Leicester City ,3
78,Luis Díaz,Colombia,Liverpool FC ,3
79, Douglas Luiz,Brazil,Aston Villa ,3
80,Odsonne Édouard,France,Crystal Palace ,3
81,Ryan Fraser,Scotland,Newcastle United ,3
82,Conor Gallagher,England,Crystal Palace ,3
83,Jack Grealish,England,Manchester City ,3
84,Kai Havertz,Germany,Chelsea FC ,3
85,Joshua King,Norway,Watford FC ,3
86,Manuel Lanzini,Argentina,West Ham United ,3
87,Joel Matip,Cameroon,Liverpool FC ,3
88,James McArthur,Scotland,Crystal Palace ,3
89,Tyrone Mings,England,Aston Villa ,3
90,Jakub Moder,Poland,Brighton & Hove Albion ,3
91, Pablo Fornals,Spain,West Ham United ,3
92, Philippe Coutinho,Brazil,Aston Villa ,3
93,Daniel Podence,Portugal,Wolverhampton Wanderers ,3
94,Teemu Pukki,Finland,Norwich City ,3
95, Raphinha,Brazil,Leeds United ,3
96, Reguilón,Spain,Tottenham Hotspur ,3
97, Ricardo Pereira,Portugal,Leicester City ,3
98,Jadon Sancho,England,Manchester United ,3
99,Luke Shaw,England,Manchester United ,3
100,Charlie Taylor,England,Burnley FC ,3
101,Kieran Tierney,Scotland,Arsenal FC ,3
102,Leandro Trossard,Belgium,Brighton & Hove Albion ,3
103,Matěj Vydra,Czech Republic,Burnley FC ,3
104,Wout Weghorst,Netherlands,Burnley FC ,3
105,Ashley Westwood,England,Burnley FC ,3
106,Hakim Ziyech,Morocco,Chelsea FC ,3
107,Max Aarons,England,Norwich City ,2
108,Rayan Aït Nouri,France,Wolverhampton Wanderers ,2
109,Marc Albrighton,England,Leicester City ,2
110, Allan,Brazil,Everton FC ,2
111,Adam Armstrong,England,Southampton FC ,2
112,Luke Ayling,England,Leeds United ,2
113, Azpilicueta,Spain,Chelsea FC ,2
114,Leon Bailey,Jamaica,Aston Villa ,2
115,Patrick Bamford,England,Leeds United ,2
116,Yves Bissouma,Mali,Brighton & Hove Albion ,2
117,Dominic Calvert-Lewin,England,Everton FC ,2
118,Tom Cleverley,England,Watford FC ,2
119,Craig Dawson,England,West Ham United ,2
120,Leander Dendoncker,Belgium,Wolverhampton Wanderers ,2
121,Kiernan Dewsbury-Hall,England,Leicester City ,2
122,Ibrahima Diallo,France,Southampton FC ,2
123,Anthony Elanga,Sweden,Manchester United ,2
124,Mohamed Elneny,Egypt,Arsenal FC ,2
125,Mohamed Elyounoussi,Norway,Southampton FC ,2
126,Joe Gelhardt,England,Leeds United ,2
127,Anthony Gordon,England,Everton FC ,2
128,Sam Greenwood,England,Leeds United ,2
129,Cucho Hernández,Colombia,Watford FC ,2
