,Player,Country,Team,Assists
130,Pierre-Emile Højbjerg,Denmark,Tottenham Hotspur ,2
131,Callum Hudson-Odoi,England,Chelsea FC ,2
132,Alex Iwobi,Nigeria,Everton FC ,2
133, Jorginho,Italy,Chelsea FC ,2
134, Junior Firpo,Spain,Leeds United ,2
135,Michael Keane,England,Everton FC ,2
136,Mateusz Klich,Poland,Leeds United ,2
137,Tariq Lamptey,Ghana,Brighton & Hove Albion ,2
138,Victor Lindelöf,Sweden,Manchester United ,2
139,Ruben Loftus-Cheek,England,Chelsea FC ,2
140,Matthew Lowton,England,Burnley FC ,2
141,Alexis Mac Allister,Argentina,Brighton & Hove Albion ,2
142,Sadio Mané,Senegal,Liverpool FC ,2
143, Manquillo,Spain,Newcastle United ,2
144,Solly March,England,Brighton & Hove Albion ,2
145,Neal Maupay,France,Brighton & Hove Albion ,2
146,Tyrick Mitchell,England,Crystal Palace ,2
147,Jacob Murphy,England,Newcastle United ,2
148,Mathias Normann,Norway,Norwich City ,2
149, Oriol Romeu,Spain,Southampton FC ,2
150,Nicolas Pépé,Ivory Coast,Arsenal FC ,2
151,Christian Pulišić,USA,Chelsea FC ,2
152,Marcus Rashford,England,Manchester United ,2
153,Milot Rashica,Kosovo,Norwich City ,2
154,Matt Ritchie,Scotland,Newcastle United ,2
155, Rodri,Spain,Manchester City ,2
156,Jay Rodriguez,England,Burnley FC ,2
157, Rúben Neves,Portugal,Wolverhampton Wanderers ,2
158,Ismaïla Sarr,Senegal,Watford FC ,2
159,Fabian Schär,Switzerland,Newcastle United ,2
160, Sergi Canós,Spain,Brentford FC ,2
161,Ryan Sessegnon,England,Tottenham Hotspur ,2
162,Emile Smith Rowe,England,Arsenal FC ,2
163,James Tarkowski,England,Burnley FC ,2
164,Andros Townsend,England,Everton FC ,2
165,Kostas Tsimikas,Greece,Liverpool FC ,2
166,Jamie Vardy,England,Leicester City ,2
167,Kyle Walker,England,Manchester City ,2
168,Kyle Walker-Peters,England,Southampton FC ,2
169,Ollie Watkins,England,Aston Villa ,2
170,Danny Welbeck,England,Brighton & Hove Albion ,2
171,Granit Xhaka,Switzerland,Arsenal FC ,2
172,Ashley Young,England,Aston Villa ,2
173, Alisson,Brazil,Liverpool FC ,1
174, André Gomes,Portugal,Everton FC ,1
175,Pierre-Emerick Aubameyang,Gabon,Arsenal FC ,1
176,Christian Benteke,Belgium,Crystal Palace ,1
177,Steven Bergwijn,Netherlands,Tottenham Hotspur ,1
178, Bruno Guimarães,Brazil,Newcastle United ,1
179,Dan Burn,England,Brighton & Hove Albion Newcastle United ,1
180,Moisés Caicedo,Ecuador,Brighton & Hove Albion ,1
181,Craig Cathcart,Northern Ireland,Watford FC ,1
182,Édinson Cavani,Uruguay,Manchester United ,1
183, Cédric,Portugal,Arsenal FC ,1
184,Trevoh Chalobah,England,Chelsea FC ,1
185,Ben Chilwell,England,Chelsea FC ,1
186,Carney Chukwuemeka,England,Aston Villa ,1
187,Ciaran Clark,Ireland,Newcastle United ,1
188,Nathaniel Clyne,England,Crystal Palace ,1
189,Liam Cooper,Scotland,Leeds United ,1
190,Maxwel Cornet,Ivory Coast,Burnley FC ,1
191, Cucurella,Spain,Brighton & Hove Albion ,1
192,Stuart Dallas,Northern Ireland,Leeds United ,1
193,Ben Davies,Wales,Tottenham Hotspur ,1
194,Issa Diop,France,West Ham United ,1
195,Kieran Dowell,England,Norwich City ,1
196,Anwar El Ghazi,Netherlands,Aston Villa Everton FC ,1
197, Emerson Royal,Brazil,Tottenham Hotspur ,1
198,Jonny Evans,Northern Ireland,Leicester City ,1
199,Eberechi Eze,England,Crystal Palace ,1
200, Fabinho,Brazil,Liverpool FC ,1
201, Fernandinho,Brazil,Manchester City ,1
202, Ferran Torres,Spain,Manchester City ,1
203,Adam Forshaw,England,Leeds United ,1
204,Marcus Forss,Finland,Brentford FC ,1
205,Ben Foster,England,Watford FC ,1
206,Saman Ghoddos,Iran,Brentford FC ,1
207,Dimitris Giannoulis,Greece,Norwich City ,1
208,Billy Gilmour,Scotland,Norwich City ,1
209,Joe Gomez,England,Liverpool FC ,1
210,Mason Greenwood,England,Manchester United ,1
211,Jóhann Guðmundsson,Iceland,Burnley FC ,1
212,Marc Guéhi,England,Crystal Palace ,1
213,Jack Harrison,England,Leeds United ,1
214,Mason Holgate,England,Everton FC ,1
215,Will Hughes,England,Crystal Palace ,1
216,Hee-chan Hwang,South Korea,Wolverhampton Wanderers ,1
217,Adam Idah,Ireland,Norwich City ,1
218,Pontus Jansson,Sweden,Brentford FC ,1
219,Mathias Jensen,Denmark,Brentford FC ,1
220, João Moutinho,Portugal,Wolverhampton Wanderers ,1
221, João Pedro,Brazil,Watford FC ,1
222, Joelinton,Brazil,Newcastle United ,1
223,Curtis Jones,England,Liverpool FC ,1
224, José Sá,Portugal,Wolverhampton Wanderers ,1
225,Naby Keïta,Guinea,Liverpool FC ,1
226, Kenedy,Brazil,Chelsea FC ,1
227,Jonjoe Kenny,England,Everton FC ,1
228,Cheikhou Kouyaté,Senegal,Crystal Palace ,1
229,Emil Krafth,Sweden,Newcastle United ,1
230,Juraj Kucka,Slovakia,Watford FC ,1
231,Adam Lallana,England,Brighton & Hove Albion ,1
232,Tino Livramento,England,Southampton FC ,1
233,Sean Longstaff,England,Newcastle United ,1
234,Adam Masina,Morocco,Watford FC ,1
235,Arthur Masuaku,Congo DR,West Ham United ,1
236,Jean-Philippe Mateta,France,Crystal Palace ,1
237,Dwight McNeil,England,Burnley FC ,1
238,Scott McTominay,Scotland,Manchester United ,1
239,James Milner,England,Liverpool FC ,1
240,Tanguy Ndombèlé,France,Tottenham Hotspur ,1
241, Nélson Semedo,Portugal,Wolverhampton Wanderers ,1
242,Eddie Nketiah,England,Arsenal FC ,1
243, Nuno Tavares,Portugal,Arsenal FC ,1
244,Alex Oxlade-Chamberlain,England,Liverpool FC ,1
245,Thomas Partey,Ghana,Arsenal FC ,1
246, Pedro Neto,Portugal,Wolverhampton Wanderers ,1
247,Romain Perraud,France,Southampton FC ,1
248,Kalvin Phillips,England,Leeds United ,1
249,Erik Pieters,Netherlands,Burnley FC ,1
250,Ethan Pinnock,Jamaica,Brentford FC ,1
251,Jacob Ramsey,England,Aston Villa ,1
252,Connor Roberts,Wales,Burnley FC ,1
253,Tyler Roberts,Wales,Leeds United ,1
254, Rodrigo,Spain,Leeds United ,1
255,Mads Roerslev,Denmark,Brentford FC ,1
256,Salomón Rondón,Venezuela,Everton FC ,1
257,Jonathan Rowe,England,Norwich City ,1
258,Josh Sargent,USA,Norwich City ,1
259,Jeffrey Schlupp,Ghana,Crystal Palace ,1
260,Jonjo Shelvey,England,Newcastle United ,1
261,Moussa Sissoko,France,Tottenham Hotspur Watford FC ,1
262,Tomáš Souček,Czech Republic,West Ham United ,1
263,Boubakary Soumaré,France,Leicester City ,1
264,Matt Targett,England,Aston Villa Newcastle United ,1
265,Nathan Tella,England,Southampton FC ,1
266,Luke Thomas,England,Leicester City ,1
267,Takehiro Tomiyasu,Japan,Arsenal FC ,1
268, Trincão,Portugal,Wolverhampton Wanderers ,1
269,Virgil van Dijk,Netherlands,Liverpool FC ,1
270,Raphaël Varane,France,Manchester United ,1
271,Joël Veltman,Netherlands,Brighton & Hove Albion ,1
272,Timo Werner,Germany,Chelsea FC ,1
273,Brandon Williams,England,Manchester United Norwich City ,1
274,Neco Williams,Wales,Liverpool FC ,1
275,Harry Winks,England,Tottenham Hotspur ,1
276,Yoane Wissa,Congo DR,Brentford FC ,1
277,Wilfried Zaha,Ivory Coast,Crystal Palace ,1
