Team,Goals,Shots pg,,Possession%,Pass%,,
1. Manchester City,40,14.3,,58.9,88.6,,
2. Aston Villa,26,13.3,,49,77.7,,
3. Liverpool,39,15.3,,57.3,84.5,,
4. Manchester United,35,13,,38.7,83.9,,
5. Leicester,34,12.7,,52.1,81.9,,
6. Chelsea,27,14.4,,0,86.9,,
7. Tottenham,33,11.1,,50.4,80.2,,
8. West Ham,30,13.1,,44.3,77.7,,
9. Everton,23,9.6,,45.7,81.4,,
10. Leeds,34,13.5,,54.4,80.2,,
11. Arsenal,31,11.5,,51.9,85.1,,
12. Burnley,19,9.8,,42.6,70.4,,
13. Fulham,18,10.9,,48.6,80.9,,
14. Wolves,15,10.2,,47.8,81.5,,
15. Newcastle,20,8.7,,39.7,74.9,,
16. Brighton,18,10.1,,49,79.9,,
17. Crystal Palace,21,9.8,,42.3,77.4,,
18. Southampton,19,10.3,,51.4,77.9,,
19. West Bromwich Albion,20,8.7,,40.6,72.3,,
20. Sheffield United,8,7.4,,41.3,76.9,,
